wavelength_nm,m11,m12,m13,m14,m21,m22,m23,m24,m31,m32,m33,m34,m41,m42,m43,m44,M00_transmission
426.0025,1.0,-0.016763945587263383,0.014670295791168641,-0.013465618287626668,0.009914269080972964,0.04660868121140979,0.6666042068359054,-0.7779104303838933,-0.024441098748722287,0.6366808318410527,0.6181027280620701,0.5117205377188038,-0.00638856164348275,0.783680234567626,-0.5108088336046409,-0.4138246535194637,0.8554702362355825
426.49503,1.0,-0.020812226787776614,0.019105596067769733,0.010828238157686836,-0.004851113877476912,0.045750823514503214,0.6920191403839977,-0.7898234657290006,0.0056019849044667705,0.6182948066196355,0.6198300189961514,0.5144680660407839,-0.00018956685817619754,0.8117529570926172,-0.5311555516635437,-0.3994501579180349,0.856155401304515
426.98743,1.0,-0.005970880366864961,0.0190690886484802,0.01046751938914101,0.0030938917042550146,0.007567524013330184,0.64678439186636,-0.790397209386529,0.005749567023373309,0.5729041128939367,0.6752660094383477,0.5095692907718995,0.006409362734999015,0.8269099519574539,-0.5160967624038773,-0.43376148792820235,0.8548284636726905
427.47974,1.0,-0.013628247894580326,0.003128899387106751,0.0065082959303476825,-0.010035712812323598,0.07767208973074259,0.6888040070031097,-0.7978877148737475,0.014032842473709941,0.561350720223693,0.6267006960098382,0.5018686853175904,0.018698734668935884,0.7947184394303608,-0.5464815809576997,-0.37006437905628964,0.8646974600614508
427.97195,1.0,-0.0053379533729358795,0.0043729279546801435,-0.0024152601041262894,-0.005019820434834446,0.04542822072710701,0.6887814394034617,-0.8276746408985463,-0.001584286168315388,0.6105383358405393,0.6175763193079414,0.5115289558167877,0.011058243687587127,0.8310072138316742,-0.5476154339779374,-0.3796024335280231,0.8589548703502435
428.46405,1.0,-0.02475482873057509,0.015001871536969707,-0.01135560211173109,-0.007905726569452163,0.034076505592574115,0.6936853741690592,-0.8196865658405624,-0.0034905636481104563,0.653458905014684,0.6393921450960919,0.5737072986505415,0.0006196861449331808,0.8183453049323364,-0.5098452100972307,-0.4299528354882169,0.8563452221804173
428.95605,1.0,-0.016464208589535626,0.0074803029940130545,-0.003727305775343024,-0.018028744996771356,0.06014840455766895,0.6888224035673066,-0.7991377451469127,0.006150594040437462,0.6393529898998371,0.6336480386323178,0.5735031418772853,0.007403870502032045,0.7951903059536507,-0.5125439302640336,-0.43690373432746665,0.8621790744253617
429.44794,1.0,-0.005929980291765821,0.009814050338668516,-0.0029935617672750704,0.005785159486128306,0.06926573598369953,0.7106466656189155,-0.7711037565572467,0.00581207358972247,0.6268504865631581,0.6333458685064528,0.5511174903171274,0.00186433880159271,0.8116429538865427,-0.553452219794795,-0.3911232499085824,0.8571682279028804
429.93973,1.0,-0.00740505469463009,0.011560694828009263,0.004087149747904497,-0.02358046420856937,0.12942460742681822,0.6838862287941408,-0.8020094660184733,0.005377767047388672,0.6010889543617192,0.6242628122812707,0.5323406390706938,0.005981100216900577,0.8274574604354352,-0.5468331779474213,-0.37559095062731657,0.8556616200771063
430.4314,1.0,0.005450327699628401,-0.014434747670721114,0.022888993727995605,-0.01604262994928671,0.08681304413334316,0.6612385179911673,-0.8196960637327566,9.625283606836412e-05,0.6129757433566481,0.6580386670556636,0.5325359986006717,0.007529078857298147,0.7925596838453298,-0.46270628476060915,-0.34846360005056887,0.8632255288053161
430.92297,1.0,-0.0059555943331133215,0.005421754924314816,0.005706798642889406,-0.006840268483995055,0.06375812606370602,0.6160370797942565,-0.8322343528559459,0.00431960459999081,0.602996869724701,0.685433124949962,0.5550294172149027,0.017328560920915462,0.833961839483744,-0.4796207677546351,-0.31542029835127783,0.8588236796042662
431.41446,1.0,-0.012382657075948458,0.0030254601387219343,0.009130634865549924,-0.0032414921087333885,0.09518663946180135,0.6244989024861061,-0.8231199065730246,0.02504639611422749,0.6183621847261893,0.6556216865717385,0.5356516496802953,0.009229633698346269,0.8150181252110579,-0.4949900224375944,-0.3487275994471597,0.8628327030236579
431.90582,1.0,0.0031026921103539822,-0.006386265077081523,0.01915787893844771,0.005229062991664891,0.06278182198905138,0.6724262771129764,-0.7971265646535854,0.004186696156954509,0.6544660538277414,0.6175789404332082,0.4686058487548763,-0.0007292782369516409,0.8057029448171905,-0.4873137780478185,-0.3740890522167165,0.8625824319606618
432.39709,1.0,-0.0019196178026149575,-0.0022687004622608743,0.015424039575961316,-0.0030493969720853976,0.06669447917986895,0.6328319631412106,-0.7683066998816186,0.0014934129960697843,0.6172941811286169,0.6059813234139771,0.4744827075893978,-0.003917629987635494,0.7826885081982125,-0.49033307564591144,-0.3313529412573812,0.8773214305940372
432.88824,1.0,-0.0007715077599491598,0.0021016817620791804,0.010170288640109916,-0.0032426656436796934,0.06678660962632808,0.6656805153194416,-0.7378784487536881,0.007799940200205487,0.6013521289555832,0.60268594054738,0.46122939670723045,-0.0015187446165060771,0.7701734715972879,-0.5219519483333325,-0.39917537594643104,0.8815000593672853
433.3793,1.0,0.0012252649238050962,0.010992591746667479,0.005278627947009271,0.0018945361256130862,0.06588381641896154,0.6418061120737141,-0.7458869816777515,-0.001641273501643261,0.5941783983352432,0.6343916693203566,0.49928226255221625,0.0008305845934320217,0.7816297482737515,-0.5370712373092132,-0.4363357539593544,0.8845317577916796
433.87027,1.0,0.007734014478817277,0.005708353461405936,-0.010428249113264197,-0.004921266003711384,0.0703044297891399,0.6130104332888552,-0.7977522473357296,-0.020788888695143143,0.6461191807709258,0.6543350988196727,0.5281465130237825,0.016033365349084453,0.7771002283787374,-0.49073970267922196,-0.41231081073417175,0.8736799486577262
434.36111,1.0,-0.005094164681156276,0.01621314188284875,-0.01690966469651386,-0.00883497525540357,0.03863610474672085,0.6098290262311248,-0.8200705945853386,-0.010537337569021503,0.6715185244537437,0.62365454585939,0.5353982853552111,0.009840713627556069,0.7988431849361264,-0.4840412123591926,-0.3758463841606418,0.8741917096644622
434.85187,1.0,-0.015111334614268406,0.0019266043841887574,-0.011752735493696818,-0.004085353505391301,0.051673923495165384,0.6072080095194162,-0.7936683379982425,-0.01224488557243672,0.6695887187756219,0.6282707377352881,0.5332770577703231,0.008217094786336558,0.8219125122323822,-0.4910853516947265,-0.3345490840694785,0.8798530021683193
435.3425,1.0,-0.004458852611502469,-0.011594517530845973,-0.0055661567493514134,0.0024725797901987393,0.05901154661003047,0.605991345791465,-0.7767835391399401,-0.013406223340868627,0.6253784190761711,0.6294960861954365,0.5610441849459555,0.012563083164466537,0.8144812957923254,-0.5104345734747328,-0.3442089951429854,0.8836986765567809
435.83304,1.0,-0.019289605424259514,0.005575092836501514,-0.012520602075835413,0.0026001975534464374,0.06577050341168397,0.6123884788855082,-0.772184567877751,-0.014753090276658758,0.6612913296809526,0.617913099699163,0.5534539202460114,0.02067182666666208,0.8217524037318229,-0.46747739325412196,-0.29963010366431775,0.8869043743313799
436.32349,1.0,-0.012683584729851937,-0.0060489101741152875,-0.004918797059579392,0.010712123081285703,0.046462218051266976,0.6416840652029158,-0.8180372265197421,-0.0121792640955256,0.6290619112781424,0.6106163011700988,0.5213674318066339,0.0054097950384662035,0.845161289232967,-0.5288660104581442,-0.35131502203662124,0.883529335399195
436.81381,1.0,-0.002837836646487893,-6.904508718054996e-05,-0.006649631580752438,-0.01332143529138912,0.05807990115424611,0.626039231085515,-0.8099668028083675,-0.01820151228391582,0.6114442493187114,0.6265041775219651,0.4951918996421213,0.002758918107277823,0.826270913849925,-0.5447297010166136,-0.3817557514137055,0.8783442606554783
437.30405,1.0,-0.0044683697504697304,-0.0013318175418204378,0.001092117905169135,0.00152414881545102,0.031895198331377626,0.648221037238168,-0.8112173496149858,-0.007350944020929422,0.6308030006130195,0.6513474824754698,0.47469381949621425,0.0058083566586829855,0.8588085717175452,-0.5466649971261924,-0.39449539053140614,0.8791166580367185
437.79416,1.0,-0.01029080121977148,-0.008639347225047724,-0.00628581536878786,0.0037272628160832173,0.031887509956815704,0.6516585835054696,-0.7943079303911981,-0.005293243791383039,0.643167776514125,0.6658609809390521,0.47937210676306696,0.0074281524765905365,0.8093620042588834,-0.536665849275526,-0.3635162103849926,0.8847479200280327
438.28418,1.0,-0.005387153713049382,0.005383331826143456,-0.004102189010913343,0.002953459574932135,0.04570974172919507,0.6168156781691142,-0.7833753017436312,-0.003102138371607949,0.6703826886879601,0.6428671231705699,0.5355601221395305,0.008544654123194915,0.8206148985021842,-0.5185790249293822,-0.39764886086790374,0.8859234391982059
438.77408,1.0,-0.002402765094553698,0.020812775370383486,-0.0020365067998086147,-0.005941072913728135,0.08393869310051441,0.6333564289036131,-0.7835634510968181,-0.000588853551813178,0.6805549333605566,0.6388083357321108,0.5502909027391442,0.01987505645838116,0.8276592184197586,-0.5067518839602164,-0.3417127284953974,0.8873795366476874
439.26389,1.0,-0.002125591154875574,0.006031090842327809,-0.003177855800519361,0.0007490795048986141,0.07839389375445135,0.6286108083327566,-0.8106179709454783,-0.012123067943014288,0.6380828690260096,0.615517419980112,0.5283449251647553,0.007958461225199522,0.8446641951221567,-0.5354145595986182,-0.3284987590978731,0.8880377893720797
439.7536,1.0,0.006539324200188607,0.0017989823438330967,0.006617286522624419,-0.001351075107283923,0.06684764534039996,0.6528092505049834,-0.8046073566843466,-0.021104031580883982,0.6155132063928885,0.613575346791251,0.48416516390448594,0.01822547687660153,0.8131780946279609,-0.5603309505830778,-0.32813564353363706,0.8865899240679381
440.24319,1.0,-0.01663222688816951,0.010242072736075926,-0.008901293349706003,-0.011817594214466688,0.08211753820221865,0.6163991693210817,-0.796882781989147,-0.024362524706998553,0.6289084316387366,0.6291951454415586,0.5301350585792733,0.010973801854624909,0.7940036501847835,-0.5374799073706299,-0.32260681629296684,0.8858215931452769
440.7327,1.0,-0.006538575725603111,0.0017756120534016676,0.0017111385933319544,-0.004609379399340903,0.07227713444761648,0.6312243355911781,-0.7903725588462184,-0.007872640205726283,0.6459611756690775,0.6213239604733954,0.5226953098675724,0.010358078044793533,0.7873299253728973,-0.5206255418782513,-0.34385219397752903,0.8867547910307909
441.22208,1.0,0.0012172502753291046,0.0016645392538734095,0.007493775671171082,-0.007472453439210728,0.05598528733164036,0.6238380285513379,-0.8178133649811156,-0.002984951615549794,0.6531176418937851,0.6104314774730802,0.5207051042113575,0.018399882967794684,0.8140541973913307,-0.5261864124187035,-0.3385943325595729,0.8964281230233769
441.71136,1.0,0.0016101448895480767,-0.006843723981990365,-0.002448052571146027,-0.003094447538418449,0.060850435594465846,0.6215221593460151,-0.8188811145881114,-0.007421287000628713,0.6391677873173593,0.6160985477683021,0.5502070697262167,0.0284400266578565,0.826837412248462,-0.5394198431260407,-0.28936858308145313,0.8975257453615102
442.20056,1.0,-0.003267814090699497,0.007669030303391527,-0.010155726769797733,-0.0028217103521741924,0.08207172941504587,0.6190889856253394,-0.8119068180252741,-0.01842026854888705,0.6410848028384548,0.6131868009911954,0.5451582781855864,0.027870657570554947,0.8267490089785035,-0.5313357833808938,-0.3090292240251656,0.8962582881364806
